,WELL,Dnmt1_g1,Mbd2_g1,Safe_g1,Safe_g2
232,J24,0,9,12928,0
233,J3,0,758,3,0
234,J4,0,8248,3,0
235,J5,0,7,3,0
236,J6,0,494,0,0
237,J7,0,998,3,0
238,J8,0,2,0,0
239,J9,0,155,2,0
240,K1,0,510,5,0
241,K10,0,205,1,0
242,K11,2,6074,4,0
243,K12,0,4099,5,0
244,K13,0,0,2126,0
245,K14,0,2,1642,0
246,K15,0,0,443,0
247,K16,0,3,90359,0
248,K17,0,2,1789,0
249,K18,0,0,2225,0
250,K19,0,1,2005,0
251,K2,0,7025,6,0
252,K20,0,3,3835,0
253,K21,0,2,34,0
254,K22,0,3,1872,0
255,K23,0,0,2677,0
256,K24,0,1,1426,0
257,K3,0,1,2,0
258,K4,0,149,5,0
259,K5,0,695,12,0
260,K6,0,3,0,0
261,K7,0,476,694,0
262,K8,0,1561,3,0
263,K9,0,8,8,0
264,L1,0,2609,2,0
265,L10,0,1001,0,0
266,L11,0,5262,1,0
267,L12,0,2300,1,0
268,L13,0,1,5318,0
269,L14,0,3,17554,0
270,L15,0,1,12,0
271,L16,0,1,15,0
272,L17,0,1,1562,0
273,L18,0,0,229,0
274,L19,3,307,1919,0
275,L2,0,503,5,0
276,L20,0,1,33598,0
277,L21,0,1,793,0
278,L22,0,3,15,0
279,L23,0,1,188,0
280,L24,0,0,903,0
281,L3,0,1,3,0
282,L4,0,23,2,0
283,L5,0,10,0,0
284,L6,0,5,0,0
285,L7,0,338,3,0
286,L8,0,2105,1,0
287,L9,0,891,5,0
288,M1,0,6350,3,0
289,M10,0,53,5,0
290,M11,0,11145,5,0
291,M12,0,21803,8,0
292,M13,0,2,8224,0
293,M14,0,4,3274,0
294,M15,0,2,478,0
295,M16,0,5,7238,0
296,M17,0,5,33340,0
297,M18,0,4,300,0
298,M19,0,0,31,0
299,M2,0,304,4,0
300,M20,0,3,10311,0
301,M21,0,3,3525,0
302,M22,0,3,25187,0
303,M23,0,3,35,0
304,M24,0,5,11807,0
305,M3,0,9,3,0
306,M4,0,6,7,0
307,M5,0,8,5,0
308,M6,0,58,5,0
309,M7,0,157,3,0
310,M8,0,1473,4,0
311,M9,0,2427,5,0
312,N1,0,14383,7,0
313,N10,0,4429,2,0
314,N11,0,10771,4,0
315,N12,0,475,4,0
316,N13,0,0,22,0
317,N14,0,7,14040,0
318,N15,0,3,707,0
319,N16,0,1,3409,0
320,N17,0,5,1174,0
321,N18,0,2,1860,0
322,N19,0,4,567,0
323,N2,0,267,3,0
324,N20,0,2,6976,0
325,N21,0,8,19204,0
326,N22,0,3,199,0
327,N23,0,5,3165,0
328,N24,0,10,5593,0
329,N3,0,6349,2,0
330,N4,0,378,0,0
331,N5,0,28361,6,0
332,N6,0,139,1,0
333,N7,0,6962,7,0
