,WELL,Mbd2_g1,Safe_g1,Safe_g2
275,L2,2861,5,0
276,L20,11,3382,0
277,L21,10,402,0
278,L22,14,20704,0
279,L23,9,14,0
280,L24,9,7768,0
281,L3,3533,1,0
282,L4,526,5,0
283,L5,9764,3,0
284,L6,7280,1,0
285,L7,19,1,0
286,L8,1720,2,0
287,L9,16,1,0
288,M1,220,2,0
289,M10,5,3,0
290,M11,4278,4,0
291,M12,3376,2,0
292,M13,1,1212,0
293,M14,1,1031,0
294,M15,1,15381,0
295,M16,2,8588,0
296,M17,4,18824,58
297,M18,0,9,0
298,M19,2,10517,0
299,M2,617,6,0
300,M20,0,17002,0
301,M21,1,12390,0
302,M22,0,18,0
303,M23,1,644,0
304,M24,0,1023,0
305,M3,3,4,0
306,M4,616,5,0
307,M5,4,4,0
308,M6,3756,0,0
309,M7,2,3,0
310,M8,275,3,0
311,M9,3,4,0
312,N1,333,2,0
313,N10,2,2,0
314,N11,1434,7,0
315,N12,1050,2,0
316,N13,0,107,0
317,N14,0,6340,0
318,N15,0,210,0
319,N16,0,1767,0
320,N17,2,26,0
321,N18,0,6,0
322,N19,1,2617,0
323,N2,2154,1,0
324,N20,1,30205,0
325,N21,2,23,0
326,N22,0,7628,0
327,N23,0,95,0
328,N24,1,2537,0
329,N3,1262,3,0
330,N4,3,2,0
331,N5,2,3,0
332,N6,110,1,0
333,N7,459,2,0
334,N8,3912,3,0
335,N9,567,3,0
336,O1,5,3,0
337,O10,8975,7,0
338,O11,560,2,0
339,O12,467,3,0
340,O13,2,3121,0
341,O14,0,9786,0
342,O15,0,2736,0
343,O16,0,1515,0
344,O17,1,5499,0
345,O18,2,211,0
346,O19,0,150,0
347,O2,392,1,0
348,O20,0,12257,0
349,O21,2,6990,0
350,O22,2,9819,0
351,O23,0,11083,0
352,O24,0,1059,0
353,O3,252,1,0
354,O4,3,4,0
355,O5,6,1,0
356,O6,14,4,0
357,O7,6,5,0
358,O8,94,2,0
359,O9,101,2,0
360,P1,8,4,0
361,P10,134,3,0
362,P11,192,4,0
363,P12,977,4,0
364,P13,1,13,0
365,P14,1,20,0
366,P15,2,65,0
367,P16,6,628,0
368,P17,7,8217,0
369,P18,0,269,0
370,P19,6,3108,0
371,P2,296,7,0
372,P20,6,6657,0
373,P21,9,1340,0
374,P22,5,63958,0
375,P23,3,2397,0
376,P24,8,666,0
377,P3,2475,1,0
378,P4,10569,9,0
379,P5,24549,6,0
380,P6,7,0,0
381,P7,4231,7,0
382,P8,5592,3,0
383,P9,8,6,0
